doc_id,text
28,"Team CenterPoint ""stepped up"" this past weekend and put on walking shoes for the March for Babies Virtual Walk. Family, friends and even pets joined in on a three-mile walk around their communities to raise funds to support research for COVID-19 treatments that are safe for pregnant and lactating women, and also provide resources and training for doctors and nurses in intensive care units, including neonatal, who are fighting tirelessly for moms and babies every day. Thanks to all who participated! #CNPCares March of Dimes"
29,"In a new, post-pandemic, normal for online travel agencies, a highly intelligent human-like #AI is now a reality to enable OTAs to offer a better customer experience.  #CX KEXL EXL EXELIA.A FOR TRAVEL HIGHLY INTELLIGENT HUMAN-LIKE A.I. FOR OTAS IS NOW A REALITY WHAT IT MEANS FOR CLIENTS? *30-40% Contact Deflection *10-12% Increase in CX *20-25% Reduction in Cost to Serve"
30,"Due to coronavirus, flight schedules are rapidly evolving. Downloading the Fly Delta app lets you manage flights and get real-time notifications about any changes, sent right to your mobile device.   The Fly Delta app gives customers the power to book, change or cancel flights, access their boarding pass, and get the latest flight notifications in the palm of their hands."
31,"Mark your calendars. At 3:30pm ET tomorrow, our Chief Strategy & Engagement Officer David Sutphen will speak on a panel hosted by Gallup Education. He'll be joined by Stephanie Marken, Mohamed Younis, Brandon Busteed and Scott Pulsipher to explore how #COVID19 will shape the future of #highered. Register to watch their discussion: twou.co/GallupPanel:=: #NoBackRow"
32,"With the ever-increasing risks associated with a prolonged #Hpylori infection, the importance of #accurate, aggressive diagnostic testing for ACTIVE INFECTION detection and eradication confirmation cannot be stressed enough.  #HpSA #UBT #StoolAntigen H. pylori, Now More Than Ever: Test, Treat, Test! 100+ million infected *pre-pandemic million tested/year *pre-pandemic 98.5 million untreated *pre-pandemic 66% 66% 66% H. pylori Infection Prevalence Estimated 25-30% overall with 66%+ in ethnic metro areas. As essential testing comes back: What's the plan? 66% 66% meridian"
33,"An update from Bruce Thorn, Big Lots President & CEO about the coronavirus precautions and extra safety measures to help keep you safe. "
34,"As we continue to monitor the #COVID19 outbreak situation, our priority is the health and safety of our employees, customers & partners. At an interactive awareness session at our NetApp #Bangalore campus, NetAppers learnt about managing symptoms and basic protective measures. #LifeAtNetApp"
35,"Show the world your smile with our exclusive transparent anti-fog disposable face masks--plus, say ""yes"" to a healthier winter season with sanitizers, shields, and more. #WeCanSupplyThat. Learn more here:  #PPE #Covid-19 #Facility #Pandemic #PandemicPreparedness #ReadySetProtect #Medical #Healthcare"
36,Smarter #medicaldevices and a rise in life threatening diseases like #diabetes and #Covid are fueling the need for advanced repair/refurbishment services. Learn what it takes to maintain this highly sophisticated equipment. 
37,"Even during pandemic times, our associates find a way to make a difference. Learn more about how we give back:  #TeamLittelfuse #volunteerday"
38,"This week's COVID Advocacy Exchange virtual session for patient advocates and patients will take place on Thursday, July 2 at 12 p.m. ET! Our panel of speakers will be discussing practical solutions for patients with pre-existing conditions during the current pandemic. To register and learn more about the session and speakers, visit www.COVIDAdvocacyExchange.com.:=: #AdvocacyExchange #GlobalHealth #PatientAdvocacy"
39,Today kicks off National Influenza Vaccination Week! What are you doing to help prevent the flu in your home?
40,"We're proud to announce the Dream Big Project, an ongoing fundraising initiative created to empower people to follow their dreams. To kick things off, join us on 9/17 for our Dream Big Day virtual summit--an inspiring evening of chats, workshops, and giveaways hosted by Tan France. Ticket proceeds benefit GoFundMe Fundraising's Small Business Relief Fund to help those impacted by COVID-19. Sign up to get your tickets today at:  #ExpressTogether"
41,One thing that became clear this year was the need for digital processes across all banking services - especially lending. Read our latest blog post to find out more:    The pandemic has amplified the need for digital processes across all banking services to reach consumers and businesses beyond branches - especially when it comes to lending
42,"In this episode of the #CaringGreatlyPodcast, our Chief Nursing Officer shares how #nurseleaders across the country are tackling the unique challenges of #COVID19. #YON2020 #NursesMonth #NursesWeek "
43,"The pandemic may have forced you to put some plans on hold. But don't let it change the long-term goals you may have, like buying a home or saving for college. As we begin a new year, take time to assess where you are, make adjustments and re-think your budget with these tips.   To give you the best digital experience, we use cookies and similar technology on our site. If you continue to our site, you agree to the use of such cookies and similar technology. Learn more about our digital privacy statement and how to change your settings."
44,"Given already high ambient concentrations of greenhouse gasses and the time it will take to transition to lower and eventually zero net emissions, the world will continue to be exposed to an increasing number of severe weather events. Recent research sponsored by S&P Global evaluated how entrepreneurial leaders can shape a post-pandemic U.S. economy:  Governments in the U.S. and abroad must finance greater investment in climate resilience. S&P Global"
45,"Next week at PIVOT MIA, Michael Mendenhall, Senior Vice President, Chief Communications Officer & Chief Marketing Officer at TriNet and Darren Beyer, Co-Founder/Chief Product and Strategy Officer at Qolo reveal how Qolo boomed by pivoting and embracing agility and innovation during the pandemic.  #PIVOT #IncredibleStartsHere"
46,Kids getting bored at home? Here are 101+ ideas to keep your kids busy during coronavirus closures.  Member FDIC Equal Housing Lender
47,"Our CEO and Chairman, Mark Sutton, joined CNBC's Squawk Box this morning to discuss International Paper's critical role in keeping the global supply chain moving during the COVID-19 pandemic. Watch it here:    CNBC's ""Squawk Box"" team is joined by Mark Sutton, International Paper CEO and chairman as well as a member on Kroger's board of directors, to discuss potential global supply chain impact due to the economic crisis stirred by the coronavirus pandemic."
48,"What long-term impact will the pandemic have on the social impact world?  Tune in on Feb. 17 for sf.citi's Scaling Social Impact Event to hear a virtual panel discussion on successful programs + how to scale efforts in a remote world. Register today:    LEARN FROM SOCIAL IMPACT LEADERS AS THEY DISCUSS HOW THE PANDEMIC AFFECTED THE SOCIAL IMPACT WORLD, HOSTED BY sf.citi."
49,CVCB is proud to present a check to Central California Food Bank as part of our Business Food Fund Challenge to help provide essential needs to families that have been impacted by the COVID-19 pandemic. Please join us by making a difference and donating to your local food bank today. For more information visit 
50,"The U.S. has suffered the highest number of #COVID19-related deaths in the world, while the U.K. has been the fifth hardest hit country in terms of mortality. Our recent survey demonstrates misconceptions about COVID-19 testing and transmission that persist in both countries.    Despite widespread public health messaging about the importance of COVID-19 testing and the frequency of asymptomatic spread, huge disconnects still exist between public understanding and scientific reality. Almost a year into a pandemic that has killed more than 2.4 million people worldwide, a new ..."
51,Employers - Looking to effectively engage your #remote workforce?    Leveraging technology to assist in daily communication can help managers and teams stay in contact and productive during this pandemic.
52,"The global pandemic has forever changed the payments landscape, but we are poised to simplify it with our real-time payments platform, RealNet. See how in @FortuneMagazine:    How FIS's innovative RealNet(tm) platform will create a simplified payments landscape with the potential to accelerate change."
53,"A few of the international Neo sites decided to take on the ""Jerusalema Challenge."" This song, and dance, are described as a hymn of joy - giving hope against COVID-19. Watch the Singapore and Suzhou Neo teams dance like no one's watching for the ""Jerusalema Challenge!"" Stay tuned for which site will continue the challenge next... _ #LifeAtNeo #WorkAtNeo #JerusalemaChallenge"
54,"While COVID-19 has changed many things about our daily lives, the need for inpatient rehabilitation remains. That's because despite this pandemic, people will still have strokes and other debilitating conditions or injuries that can benefit from the intense therapy and around-the-clock nursing that inpatient rehabilitation provides.   So much has changed during this pandemic. Schools and business have closed, and no longer are we offering handshakes and hugs. Instead we're donning masks..."
55,"Sands is continuing efforts to ensure those on the front lines of the COVID-19 fight have the protective equipment they need, donating two million additional masks and 20,000 protective suits to healthcare professionals, first responders and nonprofit organizations in Nevada and New York. Read the full press release: "
56,"It's understandable that our customers are feeling overwhelmed during this time of crisis. The behaviors that we see from friends and family online can sometimes strengthen these feelings of anxiety. CNN has graciously provided some tips on how to have a more positive online experience during the pandemic. * Take control of your relationship with the internet - stick to one or two trusted news sources and only check the news at certain times of the day. * Surround yourself with a digital community and call your friends often. * Seek out information that will uplift, entertain or educate you - the Internet has an infinite amount of info. Find the info that you will enjoy the most."
57,"Every year, the Equitable Excellence Scholarship is awarded to students who support their communities. One of the $25K recipients, Collin Ladina, created Care Kits for children in families financially affected by COVID-19. Each kit included games and activities such as coloring books, crayons, play-doh and jigsaw puzzles. ""I really wanted to just show support for the kids and let them know they could continue to be themselves in a time that was hard for many families,"" Ladina said."
58,We're investing in our engineering team! A10 has to fill 30+ roles of various levels. Join a team that's driving the future of innovation and solving business challenges! Apply today   #cybersecurity #careers   A10 is Investing in its Engineering Team A10's technology has been at the forefront of helping our customers navigate the challenges brought on by the pandemic and address market forces like digital transformation and the move to the cloud. This present...
59,"Recognizing these warning signs can help you avoid falling victim to scammers hoping to capitalize on the pandemic.    Amid the coronavirus pandemic, criminals are exploiting fear to steal money and personal information. Learn how to protect yourself from COVID-19 scams."
60,"Nothing is more important than the health & safety of #TeamDow and the communities in which we do business. We're honored to be recognized with 20 American Chemistry #ResponsibleCare(r) Awards for #safety, minimizing waste, improving energy efficiency, and our COVID-19 response. Learn more:  DOW American(r) Chemistry Council Winner of 20 Responsible Care(r) Awards"
61,"Events like the COVID-19 pandemic send the markets reeling, causing many to second guess retirement plans. During these times, focus on the process and not the outcome, says WSFS' Perry Sutton in the Delaware County Daily Times.   It starts with you. With retirement a mere five to ten years away, many Americans will start to panic, thinking (perhaps appropriately) that they are not on track to retire"
62,"As move into the middle of National Volunteer Week, we want to take a moment to recognize and thank you our employee & community partners for all that has been done -- effort and hours dedicated to our XTEAM. We're pleased to provide an easy and meaningful way for both our employees and community members to help those affected by COVID-19, and to celebrate our BE FIRST values and culture of giving back through a unique collaboration with You Give Goods. Please check out the blog in our bio that contains information on how all can give. "
63,- Learn about new exposures as a result of COVID-19 - Discover if your malpractice coverage is adequate as you get back up to full practice. - Gain insight into strategies to help manage risks related to COVID-19.
64,Last year turned the global risk environment on its head. Verisk Maplecroft Human Rights Outlook examines how the dramatic demand for hand sanitizer coupled with extreme security measures have increased the risk of modern slavery in Asia's manufacturing hubs and parts of Africa:    Learn more through our insights and webinars of the Human Rights Outlook 2020 as we delve deeper into the current state of human rights in a post COVID-19 world.
65,"Like Robin, many of our colleagues are working moms who've had to adjust to being home during the pandemic. ""My daughter and I are adjusting to the 'new normal' of suddenly having to work, learn, and do everything else from home while also being concerned about friends and family."" ""Whether it's doing a puzzle, baking cookies, or having a late-night talk when she climbs into bed with me, I will be forever thankful for this time. I hope she will be too. We're lucky to be healthy, safe, and together. At the end of the day, those are the things that matter most."" Can you relate to Robin? What's your quarantine experience been like as a mom? Share it with us. "
66,So... who exactly benefits when you air condition an empty office?  #Technology #Automation #DigitalTransformation #Innovation #Tech #Coronavirus #COVID19 #Pandemic #Tech #Digital #Digitization #SmartOffice #RemoteWork #RemoteWorking #WFH
67,"From our work on an investigational COVID-19 vaccine to a $100 million commitment to help advance health equity solutions for people of color in the United States, discover the innovative achievements that helped us place in the top 20 on Fortune's prestigious Most Admired Companies list.   Recognized for our innovative work."
68,"U.S. Department of Health and Human Services (HHS) announced the launch of a new program to provide claims reimbursement to healthcare providers for testing uninsured individuals for COVID-19. See what's covered, and what's not on the #NextGenBlog.  #DailyAdvisor #BelieveInBetter #NextGenHealthcare"
69,Learn how we're helping government and military personnel working from home and other remote areas during the COVID-19 pandemic.   Viasat's technology enables government users to access classified and sensitive data at home and other remote locations
70,"In case you missed it, earlier this week, Dr. Bensimhon of Cone Health detailed how the simple, straightforward workflows of #ZioByiRhythm provided his staff efficiency and improved patient care and satisfaction. Download the webinar today to learn more about how his clinic applied heart monitors during the pandemic: "
71,"If you're filming during the pandemic, use these real-world tips to stay healthy and safe while working.   Filming any event during the coronavirus pandemic is a challenge. Here are the measures to take while filming an event during COVID-19."
72,An update on our Pfizer RxPathways patient assistance program. #COVID19 #Coronavirus
73,"After last week's volatile #trading sessions, #equity futures are presaging a higher opening when trading commences. This week, #investors will receive fewer dow-30 #earnings reports, including two from $DIS and $MRK.    China GDP, Federal Reserve left interest rates unchanged, Apple, Merck, Amazon, coronavirus, earnings season, Shanghai Composite retreated nearly 8%"
74,"We've invited a premier energy drink manufacturer to share their story at Automation Fair. Learn how they boosted production during a global pandemic. Join us in Houston at the Customer Experience Showcase, booth 2401. RA Rockwell Automation Automation Fair(r) SPARKLI AMWAY CUSTOMER EXPERIENCE SHOWCASE Join us in Houston, Texas at booth 2401"
75,We are SO excited to virtually work with our two Temple University interns this summer! Thank you Gamma lota Sigma Grand Chapter for hosting this amazing program.  #ThereWhenItMattersMost   #GammaIS grateful for the employers participating in Gamma Iota Sigma's Project-Based Internship this summer! Thank you for continuing to engage and invest in the #FutureofTalent by providing opportunities to students whose internships have been affected by COVID-19. #Resilience #TalentPipeline
76,"Potential homebuyers may be weighing the low interest rate environment with the ongoing pandemic in their decision to buy. Rockland Trust Senior Vice President and Director of Residential Lending Bob Driscoll offers some considerations in the Learning Center.   The decision to purchase a home comprises multiple factors. With a hot real estate market in the northeast and Massachusetts in particular, it has many of us asking the question: Is now a good time to buy a house?"
77,"So you received a friendly reminder from your vet's office that your pet is due for vaccinations, but we're in the middle of a pandemic. What should you do? Learn: "
78,"COVID-19's financial assault hit emergency departments especially hard. As groups strive to financially recover, they need to evaluate how aging A/R can affect profitability. Read this infographic for statistics on how A/R can impact financial performance and how A/R management services can help emergency medicine groups increase their financial resilience: "
79,PGS Rejects $600 Million Seismic Data Offer from Rival TGS   Oil industry suppliers such as Oslo-listed TGS and PGS have been hard hit by weak crude prices during the coronavirus pandemic as energy companies rein in exploration.
80,"TriNet Chief Revenue Officer Barrett Boston talks to Sam Jacobs on the Sales Hacker podcast on leading a sales team through a pandemic, as well as surviving (and thriving) in this new environment. Take a listen below or wherever you get podcasts.    This week on the Sales Hacker podcast, we speak with Barrett Boston, Chief Revenue Officer at TriNet. Learn how to transition to remote setup, manage teams, and how communication is a key aspect during and beyond pandemic."
81,The Massachusetts Medical Society is urging residents to be cautious as COVID-19 cases in the state continue to rise.   The Massachusetts Medical Society is urging residents to be cautious as COVID-19 cases in the state continue to rise.
82,"We are once again proud to be named one of America's Best Banks of 2022 by Forbes!  Thank you to our amazing Team Members and clients, without whom we would not have been able to move up over 50 places this year to number 21 on the list.    America's banks rode a rebounding economy to a year of growth as unprecedented federal stimulus during the Covid-19 pandemic helped the U.S. emerge from the quickest recession in U.S. history. While the economic rebound was stronger than peer countries and powered a strong 5.7% GDP growth, it also..."
83,"Many are already comfortable going to the doctor, socializing with small groups, etc. Until effective #vaccine, it will be more than a year before they will be willing to go to large group events.   Even experts need to make personal decisions about what risks are worth it in the age of coronavirus. For some, life will never be the same again."
84,"One of the ""victims"" of #Covid-19 has been sports, that global unifier of people, communities and countries all over the world. So sports fans everywhere will be glad to learn that technology is bringing back sports, albeit a little differently. In Episode 7 of the #GreatIndoors podcast, Matthew Roberts is joined by legendary Boston sports commentator and comedian Nick 'Fitzy' Stevens. The two discuss how the future of 5G will impact the customer experience at sports arenas, augmented reality and how the NFL has kept up to speed with technological change. If you're a sports fan or just interested in the technologies that will change the world of sports, tune in to this exciting podcast.  #5G #digital #AR #NFL   Join Matt Roberts from Amdocs as he discusses how human technological adoption habits are evolving as a result of the COVID-19 Pandemic, and how we're rediscovering the magic of technology as a necessary result of being indoors. Find out more at amdocs.com/TheGreatIndoors:=:"
85,"When faced with the challenge of running blood drives safely during a pandemic, CBRE's Lee Allen helped connect clients to secure a donation of two truckloads of supplies and $1 million to continue blood donations.  #CBREUnited   One Question, One Idea and One Call Made a Difference"
86,"We are excited to announce our partnership with C&S Wholesale Grocers, the largest wholesale grocery supply company in the U.S., to combat job and food insecurities amid the COVID-19 pandemic's impact on the supply chain.    C&S; Wholesale Grocers, Inc., the largest wholesale grocery supply company in the U.S., along with US Foods Holding Corp. (NYSE: USFD), have partnered to combat job and food insecurities amid the coronavirus (COVID-19) pandemic's impact on the supply chain."
87,"Hey folks, we are opening on Wednesday, November 4th in Corsicana.   As always, you'll save up to 70% on the best brands in food, housewares, flooring, books, clothing, bed & bath, toys, and much more! We've got items of all description... and some beyond description!  Ollie's is committed to the communities we serve.  During this time, we are monitoring and following state and local guidelines and developments regarding the COVID-19 pandemic closely.   Flyer available for preview at:  ollies.us/currentflyer/flyer:=:  *We reserve the right to limit the maximum store occupancy and regulate customer access and all customers are highly encouraged to wear masks/face coverings while in our stores, unless required by local or state mandates."
88,"Alzheimer's Awareness An August, 2020 4-Part Series By: Lillian Reda, Genesis HealthCare, Director of Memory Support Clinical Practice and Education Series: 1 This week, more than 33,000 registered attendees from over 160 countries joined together virtually for the Alzheimer's Association International Conference (AAIC) -- the world's largest and most influential international meeting dedicated to advancing dementia science. In this exciting time in Alzheimer's and dementia research, scientists continue the momentum necessary to advance new discoveries, even in the face of a global pandemic. As the AAIC 2020 has come to a close, here is just one of the many key takeaways from the conference, as the research community continues to seek treatments, earlier detection and prevention strategies for Alzheimer's and all other dementia. A Blood Test for Alzheimer's On the Horizon Scientists are making great strides toward developing better tests to detect Alzheimer's. This includes advances in blood tests. Here is why it's significant: A simple and accessible test for blood biomarkers may allow for a greater understanding of Alzheimer's in diverse populations, potentially identifying the right people for specific clinical trials. It would also allow researchers to better track the potential therapies being tested, which could help support new drug developments and more treatment options. Last year, AAIC 2019 highlighted blood biomarkers for beta amyloid, a hallmark protein of Alzheimer's that comprises the brain ""plaques"". Research reported at AAIC 2020 focuses on another protein known as tau -- specifically, a form of tau known as p-tau217. Levels of this type of tau in blood may be the most accurate, most specific to Alzheimer's and the earliest way of showing measurable changes to the brain. These new reports are very encouraging, although they need to be verified in larger and more diverse populations. Researchers continue to zero in on tau proteins in the brain and their potential in Alzheimer's and dementia research overall. Visit  to read some of the other exciting research ventures!"
89,"At CSX, our top priority is the safety of our employees, their families and the communities in which we operate. The company is closely monitoring the spread of the novel coronavirus disease (COVID-19) and has taken preventative measures to safeguard our people and operations. The company has issued a Coronavirus Prevention and Response Policy for all CSX employees, contractors, suppliers and visitors that we continue to monitor and revise as events warrant. The policy is aimed at ensuring our rail system continues to perform at a high level and is ready to meet the needs of our customers and the nation as the coronavirus situation unfolds. As part of the policy, we have restricted business travel for employees not directly associated with train operations and limited visitor access to our facilities so that our employees and business-critical staff can continue to do their jobs without the risk of potential exposure to the virus. We are encouraging all employees to follow personal safeguards, based on recommendations by the U.S. Centers for Disease Control and the World Health Organization. We are also increasing cleaning regimens and distributing additional cleaning and disinfecting products across our system. For more on CSX's continuity plans, visit "
90,"In a new survey conducted by Purdue University, 78% of Americans support using Oxitec science to help stop the spread of Zika.   The U.S. public overwhelmingly supports introducing genetically engineered mosquitoes to help control the spread of the Zika virus, two Purdue researchers found in a nationwide survey."
91,"Boricua, !no lo dejes caer! Ponte la tercera dosis de la vacuna contra el COVID-19 por tu salud y la de los tuyos. Recuerda seguir los protocolos oficiales de seguridad y prevencion. #GanaleAlCOVID"
92,"Check out the latest episode of SHEconomics--our series with Radivision that celebrates women breaking barriers in business! In this episode, hear the inspiring story of TriNet customer Vanessa Ogle, Founder of companies Enseo and HigherHill Studios, as she talks about how she transformed both the hospitality and education industries and not only survived--but thrived--during the pandemic. We'll be sharing stories of innovative women in business on TriNet RISE throughout #WomensHistoryMonth!  #TriNetRISE #SHEconomics #TriNetcustomer #TriNettechnology #IncredibleStartsHere #YourPeopleMatter #WHM RADIVISION X TriNet SHEconomics She changed hospitality and education industries. Hear what Vanessa Ogle says abon innovation. Vanessa Ogle Founder and Chair, Enseo"
93,"#InformationIsPower Percentage of the U.S. population that has received COVID-19 Vaccinations As of October 22, 2021. 66.2% At least one dose 57.3% Fully Vaccinated 6.3% Booster Source: covid.cdc.gov"
94,Interested in learning from industry experts about how healthcare's use of artificial intelligence (AI) is accelerating due to COVID-19? Hear from R1's Sean Barrett and other industry experts at the virtual panel hosted by HFMA Metropolitan NY Chapter on March 23 from 1:00- 2:30 p.m. ET 
95,CDC issued a health advisory recently that cases of influenza have been rising among young adults in recent weeks    The CDC issued a flu advisory Wednesday after rising cases among children and young adults.
96,"Thank you to all nurses for your dedication and care of others, especially during this #pandemic. While #COVID19 has brought immense challenges to the nursing profession, it has also highlighted innovative solutions that will shape the future of healthcare. On #InternationalNursesDay, we celebrate you and your voices to lead the vision for what's next."
97,"Read Doug Saylors latest article on technical security in this new age of #RemoteWork with a checklist to help enterprises protect their technology, human resources and legal concerns,   The COVID-19 pandemic has forced internal and service provider employees to immediately work in new ways."
98,"This week is National Influenza Vaccination Week! If you haven't already, make sure you schedule a time to get your flu shot this winter season. #nhc #nhccares"
99,"10 Tampa Bay reports why fake COVID-19 vaccine cards are a public health risk.   Making, selling or using a fake vaccine card is a federal crime. It's also a risk to public health in the COVID-19 pandemic."
